"Track","Type","Position","Cue No","Label","Fade"
"1. Opening Routine 2025 - SMM1","Lighting","00:00:05:22","1","Rumble up","3"
"1. Opening Routine 2025 - SMM1","Lighting","00:00:10:18","2","Snap 1","0"
"1. Opening Routine 2025 - SMM1","Lighting","00:00:10:24","3","Snap 2","0"
"1. Opening Routine 2025 - SMM1","Lighting","00:00:18:15","4","Hit","2"
"1. Opening Routine 2025 - SMM1","Lighting","00:00:19:14","5","Hit2","1"
"1. Opening Routine 2025 - SMM1","Lighting","00:00:21:10","6","Build","3"
"1. Opening Routine 2025 - SMM1","Lighting","00:00:51:26","7","Builld","5.5"
"1. Opening Routine 2025 - SMM1","Lighting","00:01:25:12","8","Change","3"
"1. Opening Routine 2025 - SMM1","Lighting","00:01:39:22","9","Change","7"
"1. Opening Routine 2025 - SMM1","Lighting","00:02:09:16","9.5","Drop","2"
"1. Opening Routine 2025 - SMM1","Lighting","00:02:10:29","10","Energy","1"
"1. Opening Routine 2025 - SMM1","Lighting","00:02:40:21","99","end","3"
